55.373944, 10.428631
55.375595, 10.428384
55.375378, 10.426424
55.374628, 10.422208
55.374061, 10.417965
55.373771, 10.412885
55.373774, 10.409768
55.373295, 10.409382
55.372326, 10.409538
55.370396, 10.409994
55.368411, 10.410445
55.366679, 10.411057
55.364155, 10.412532
55.361548, 10.413657
55.358517, 10.414923
55.354422, 10.421344
55.353068, 10.422319
55.350656, 10.421623
55.351104, 10.415531
55.351456, 10.410916
55.351639, 10.405159
55.351747, 10.399139
55.352159, 10.385615
55.352914, 10.377135
55.353973, 10.369973
55.355126, 10.365086
55.357315, 10.358544
55.359260, 10.353142
55.360379, 10.349349
55.361178, 10.346994
55.362148, 10.346581
55.364119, 10.349829
55.365787, 10.352798
55.366822, 10.354783
55.367684, 10.356276
55.368504, 10.357802
55.369647, 10.359927
55.370606, 10.361898
55.372039, 10.365074
55.373463, 10.367410
55.374342, 10.368941
55.375482, 10.370143
55.376907, 10.371125
55.378794, 10.371297
55.380571, 10.371397
55.381715, 10.371528
55.381653, 10.373044
55.381393, 10.375883
55.381511, 10.378282
55.381580, 10.381798
55.381648, 10.386617
55.381568, 10.391655
55.381547, 10.395475
55.380762, 10.395883
55.378769, 10.396199
55.376314, 10.396347
55.374827, 10.396416
55.374432, 10.400313
55.373834, 10.405933
55.373695, 10.415110
55.374273, 10.420733
55.375300, 10.426644
55.375444, 10.428449
